head	rel	tail
Q1085	P190	Q1297
Q490	P190	Q956
Q843	P530	Q408
Q40	P530	Q217
Q33	P530	Q1030
Q851	P530	Q889
Q577011	P407	Q7026
Q148	P530	Q212
Q85	P190	Q406
Q241	P530	Q928
Q801	P530	Q41
Q809	P17	Q213
Q750	P47	Q298
Q35	P530	Q41
Q189	P530	Q16
Q38022	P131	Q1581
Q219	P530	Q881
Q22	P17	Q145
Q62	P190	Q1461
Q230	P47	Q227
Q142	P530	Q801
Q711	P47	Q148
Q1370	P17	Q30
Q39	P47	Q183
Q36687	P47	Q3224
Q836	P17	Q836
Q214	P17	Q214
Q8684	P190	Q1861
Q148	P530	Q218
Q865	P530	Q712
Q179248	P17	Q34
Q40	P530	Q230
Q668	P530	Q262
Q1899	P190	Q239
Q664	P530	Q43
Q8663	P710	Q55
Q406	P190	Q1781
Q170027	P131	Q84
Q8646	P530	Q334
Q28	P47	Q15180
Q239	P190	Q340
Q43	P530	Q805
Q17	P530	Q843
Q222	P530	Q843
Q35	P530	Q148
Q142	P530	Q43
Q183	P530	Q214
Q1028	P530	Q159
Q3616	P190	Q1461
Q7521081	P460	Q475210
Q184	P530	Q41
Q408	P530	Q30
Q829	P47	Q1214
Q884	P530	Q801
Q649	P190	Q85
Q262	P47	Q948
Q408	P530	Q212
Q38	P530	Q212
Q43	P530	Q30
Q1393	P47	Q1408
Q15180	P47	Q30
Q37	P530	Q17
Q399	P530	Q863
Q985	P937	Q586
Q148	P530	Q184
Q148	P530	Q229
Q4093	P17	Q145
Q9129	P17	Q30
Q668	P530	Q35
Q114	P530	Q843
Q96	P530	Q189
Q727	P190	Q1899
Q809	P17	Q408
Q216	P190	Q31487
Q23436	P190	Q216
Q1861	P190	Q649
Q29999	P47	Q31
Q736	P530	Q717
Q16	P37	Q150
Q233	P530	Q184
Q8663	P710	Q258
Q212	P530	Q145
Q1492	P190	Q33935
Q3206	P17	Q408
Q928	P36	Q1461
Q37100	P190	Q1055
Q28	P47	Q214
Q155	P530	Q822
Q1261	P47	Q1214
Q213	P530	Q1016
Q796	P530	Q148
Q712	P530	Q865
Q1522	P17	Q30
Q20	P530	Q148
Q155	P530	Q865
Q334	P530	Q145
Q796	P530	Q241
Q1353	P190	Q649
Q1345	P17	Q30
Q145	P530	Q31
Q1537	P47	Q1166
Q801	P530	Q148
Q174	P190	Q1563
Q9248	P190	Q84
Q38	P530	Q41
Q884	P530	Q35
Q38	P530	Q889
Q664	P530	Q668
Q1158906	P460	Q13501137
Q148	P530	Q858
Q974	P530	Q20
Q1794	P190	Q31487
Q38	P530	Q218
Q1033	P530	Q41
Q414	P530	Q145
Q1974	P47	Q1221
Q340	P190	Q65
Q727	P190	Q8678
Q23556	P190	Q19660
Q184	P37	Q7737
Q34647	P190	Q5465
Q142	P47	Q32
Q77	P530	Q800
Q23482	P190	Q1449
Q155	P47	Q414
Q15180	P47	Q17
Q1221	P47	Q824
Q956	P190	Q85
Q878	P530	Q142
Q774	P530	Q159
Q736	P530	Q77
Q224	P530	Q29
Q38	P530	Q34
Q34	P530	Q252
Q656	P190	Q18125
Q38	P530	Q902
Q265	P530	Q41
Q96	P530	Q399
Q843	P530	Q96
Q35	P47	Q145
Q783	P530	Q865
Q16	P530	Q183
Q236	P530	Q219
Q4093	P17	Q174193
Q965	P47	Q912
Q4925623	P407	Q188
Q37320	P17	Q30
Q956	P190	Q1490
Q403	P530	Q39
Q854	P530	Q408
Q218	P530	Q41
Q1899	P190	Q23436
Q490	P190	Q33935
Q16	P530	Q664
Q241	P530	Q833
Q36091	P17	Q30
Q232	P530	Q865
Q733	P530	Q419
Q414	P530	Q419
Q30	P530	Q215
Q219	P530	Q214
Q131252	P131	Q1297
Q7521081	P460	Q830350
Q1016	P530	Q145
Q258	P530	Q833
Q36687	P47	Q34366
Q403	P530	Q865
Q2256	P17	Q179876
Q902	P361	Q48
Q176	P17	Q16
Q1384	P47	Q1904
Q8652	P190	Q8678
Q12753	P47	Q3093
Q1297	P190	Q1055
Q928	P530	Q1016
Q12717	P47	Q3105
Q145	P530	Q159
Q4093	P190	Q11739
Q215	P530	Q865
Q33935	P190	Q586
Q41	P47	Q36704
Q179248	P17	Q403
Q262	P530	Q142
Q668	P530	Q754
Q1030	P530	Q241
Q641	P190	Q656
Q30	P150	Q1553
Q843	P530	Q252
Q408	P530	Q750
Q46	P47	Q48
Q29	P530	Q241
Q816	P47	Q829
Q79	P530	Q668
Q3224	P47	Q36687
Q30	P150	Q1204
Q20	P530	Q145
Q1036	P530	Q865
Q19660	P190	Q12439
Q30	P530	Q712
Q837	P30	Q48
Q414	P530	Q902
Q884	P530	Q28
Q230	P530	Q954
Q1489	P190	Q597
Q1524	P190	Q100
Q843	P530	Q854
Q586	P17	Q183
Q1553	P17	Q30
Q805	P530	Q1045
Q252	P530	Q31
Q837	P530	Q851
Q142	P530	Q262
Q916	P530	Q865
Q941049	P407	Q150
Q16	P530	Q241
Q183	P47	Q39
Q2256	P190	Q490
Q754	P530	Q142
Q711	P530	Q142
Q423	P530	Q16
Q1041	P37	Q150
Q833	P530	Q225
Q36	P530	Q96
Q7201446	P460	Q4925932
Q1899	P190	Q2887
Q656	P190	Q1055
Q13501137	P407	Q1321
Q1781	P190	Q33935
Q1461	P190	Q456
Q155	P530	Q884
Q35	P530	Q854
Q16	P150	Q1951
Q36704	P47	Q28
Q225	P530	Q30
Q33	P530	Q298
Q183	P530	Q155
Q18419	P131	Q60
Q1030	P530	Q902
Q1218	P190	Q1085
Q23482	P190	Q1953
Q29	P530	Q224
Q35	P530	Q229
Q956	P190	Q84
Q1524	P17	Q41
Q214	P530	Q145
Q717	P47	Q739
Q39	P530	Q399
Q159	P47	Q232
Q865	P530	Q230
Q472	P190	Q2807
Q38903	P131	Q60
Q884	P530	Q739
Q218	P36	Q19660
Q865	P530	Q423
Q902	P530	Q262
Q865	P530	Q224
Q833	P530	Q664
Q1218	P17	Q810
Q30	P530	Q148
Q33	P17	Q33
Q224	P530	Q184
Q889	P530	Q183
Q1371	P47	Q1400
Q8678	P190	Q656
Q30	P150	Q1415
Q1335	P190	Q174
Q41	P530	Q16
Q96	P530	Q191
Q21	P47	Q25
Q142	P530	Q33
Q668	P530	Q739
Q965	P530	Q865
Q9248	P190	Q406
Q183	P530	Q733
Q11223	P276	Q1370
Q928	P530	Q35
Q1352	P190	Q975
Q23482	P190	Q1055
Q843	P530	Q20
Q948	P530	Q38
Q830350	P460	Q2117521
Q183	P530	Q668
Q733	P47	Q750
Q298	P530	Q801
Q833	P530	Q843
Q423	P530	Q843
Q1353	P47	Q1498
Q28	P530	Q29
Q754	P530	Q17
Q1045	P530	Q43
Q1019	P530	Q423
Q32	P530	Q30
Q4925932	P460	Q7201446
Q30	P530	Q39
Q1649	P47	Q1581
Q65	P190	Q1524
Q220	P190	Q1490
Q1781	P190	Q597
Q980	P937	Q586
Q84	P190	Q1353
Q424	P530	Q928
Q172579	P36	Q220
Q227	P530	Q801
Q1033	P47	Q1009
Q1486	P190	Q1899
Q889	P530	Q20
Q1718	P17	Q183
Q2280	P190	Q12439
Q1612	P47	Q1649
Q16	P530	Q227
Q224	P150	Q1435
Q262	P530	Q851
Q30	P150	Q99
Q408	P530	Q424
Q792	P47	Q783
Q252	P530	Q30
Q16	P530	Q965
Q43	P530	Q38
Q1726	P17	Q7318
Q99	P47	Q1227
Q754	P530	Q30
Q813	P17	Q813
Q924	P530	Q668
Q833	P530	Q1033
Q184	P530	Q34
Q215	P530	Q403
Q252	P530	Q796
Q456	P190	Q1953
Q298	P530	Q241
Q739	P37	Q1321
Q35	P530	Q33
Q148	P530	Q408
Q1352	P131	Q1445
Q148	P530	Q736
Q419	P530	Q408
Q29	P530	Q155
Q833	P530	Q865
Q794	P47	Q796
Q96	P530	Q783
Q38	P530	Q843
Q805	P530	Q252
Q213	P530	Q408
Q641	P190	Q33935
Q1461	P190	Q2135
Q1741	P190	Q406
Q668	P530	Q408
Q212	P530	Q334
Q792	P530	Q77
Q183	P530	Q843
Q2280	P190	Q586
Q843	P530	Q810
Q399	P530	Q17
Q812	P17	Q30
Q36	P530	Q35
Q1435	P190	Q1486
Q668	P530	Q115
Q258	P530	Q35
Q1953	P190	Q656
Q219	P530	Q796
Q183	P530	Q1041
Q1297	P190	Q490
Q1754	P190	Q216
Q183	P530	Q804
Q854	P530	Q17
Q13164	P159	Q649
Q114	P530	Q40
Q843	P530	Q159
Q30	P530	Q948
Q229	P530	Q399
Q408	P530	Q55
Q184	P530	Q230
Q801	P530	Q43
Q878	P530	Q858
Q31	P47	Q32
Q241	P530	Q916
Q77	P530	Q183
Q159	P47	Q148
Q41	P530	Q796
Q90	P30	Q46
Q399	P30	Q46
Q28	P530	Q41
Q37	P36	Q216
Q902	P530	Q822
Q212	P530	Q41
Q85	P190	Q16555
Q230	P530	Q668
Q1527	P47	Q1904
Q172	P190	Q174
Q189	P530	Q159
Q1041	P47	Q912
Q16555	P190	Q9248
Q30	P530	Q229
Q717	P530	Q881
Q7318	P47	Q15180
Q668	P530	Q858
Q34	P530	Q403
Q230	P530	Q16
Q1899	P190	Q2079
Q754	P530	Q865
Q16	P530	Q212
Q796	P530	Q41
Q258	P47	Q1030
Q664	P47	Q408
Q2807	P190	Q239
Q45	P530	Q219
Q28	P47	Q403
Q1533	P190	Q1489
Q262	P530	Q403
Q15180	P47	Q43
Q8686	P190	Q1461
Q100	P17	Q30
Q1227	P47	Q1221
Q31	P37	Q150
Q1498	P47	Q1353
Q30	P530	Q1028
Q490	P190	Q1794
Q809	P17	Q159
Q258	P530	Q794
Q183	P530	Q408
Q1953	P17	Q399
Q711	P530	Q43
Q1008	P530	Q30
Q801	P530	Q77
Q270	P190	Q1741
Q2897866	P407	Q150
Q586	P30	Q46
Q155	P530	Q1016
Q801	P530	Q733
Q668	P530	Q191
Q34	P530	Q664
Q858	P530	Q902
Q222	P47	Q36704
Q1762022	P460	Q1159009
Q252	P530	Q225
Q889	P530	Q38
Q2807	P190	Q64
Q224	P47	Q236
Q17	P530	Q236
Q1016	P530	Q843
Q233	P530	Q145
Q1016	P530	Q159
Q1563	P190	Q4093
Q408	P47	Q252
Q889	P47	Q863
Q211	P47	Q37
Q1741	P190	Q1899
Q833	P47	Q869
Q3616	P190	Q1861
Q85	P190	Q1022
Q148	P47	Q889
Q41	P530	Q974
Q159	P47	Q30
Q1726	P1376	Q980
Q1605665	P407	Q150
Q727	P190	Q649
Q408	P530	Q754
Q29	P530	Q145
Q179248	P17	Q39
Q15897419	P460	Q2793400
Q490	P190	Q2634
Q211	P530	Q35
Q1489	P190	Q8684
Q30	P47	Q717
Q750	P530	Q35
Q475210	P460	Q1159009
Q241	P530	Q77
Q1435	P190	Q1342
Q833	P530	Q241
Q18125	P190	Q656
Q230	P530	Q424
Q668	P530	Q43
Q155	P530	Q833
Q262	P530	Q30
Q218	P530	Q843
Q1214	P47	Q829
Q408	P530	Q414
Q30	P150	Q797
Q145	P530	Q37
Q4925623	P407	Q150
Q1486	P190	Q1524
Q809	P17	Q30
Q7026	P17	Q142
Q224	P47	Q225
Q43	P530	Q221
Q270	P190	Q64
Q159	P530	Q233
Q213	P47	Q214
Q265	P530	Q183
Q219	P530	Q16
Q717	P530	Q790
Q35	P530	Q236
Q668	P530	Q851
Q1581	P47	Q1558
Q16	P530	Q142
Q833	P47	Q334
Q30	P530	Q184
Q159	P530	Q800
Q8646	P530	Q145
Q408	P530	Q38
Q229	P30	Q48
Q21077	P355	Q183412
Q15180	P47	Q36
Q212	P530	Q232
Q800	P530	Q298
Q96	P530	Q736
Q265	P530	Q145
Q148	P530	Q43
Q833	P530	Q1036
Q822	P530	Q30
Q148	P530	Q37
Q47762	P1532	Q21
Q1223	P47	Q1221
Q739	P530	Q801
Q869	P530	Q38
Q224164	P17	Q30
Q8678	P190	Q1489
Q649	P190	Q270
Q423	P530	Q114
Q216	P190	Q6602
Q221	P47	Q403
Q28513	P30	Q46
Q1741	P190	Q3711
Q1770	P190	Q649
Q30	P150	Q1384
Q38	P530	Q403
Q77	P530	Q145
Q159	P47	Q191
Q41	P530	Q224
Q810	P47	Q801
Q16	P530	Q37
Q585	P17	Q20
Q183	P530	Q17
Q77	P530	Q804
Q1030	P47	Q258
Q1546	P47	Q1204
Q656	P190	Q1435
Q40	P530	Q902
Q916	P47	Q1030
Q771	P47	Q1384
Q23482	P17	Q142
Q1930	P190	Q85
Q928	P530	Q881
Q64	P190	Q1085
Q100	P190	Q1524
Q155	P530	Q766
Q30	P530	Q928
Q408	P530	Q869
Q414	P530	Q928
Q176	P47	Q1965
Q33	P530	Q801
Q928	P530	Q298
Q155	P530	Q796
Q1156	P190	Q8660
Q881	P530	Q403
Q41	P530	Q184
Q8678	P190	Q8652
Q1799	P190	Q1731
Q258	P530	Q43
Q7318	P47	Q172579
Q980	P2936	Q188
Q34370	P190	Q8686
Q17	P530	Q754
Q11122389	P407	Q188
Q2868	P190	Q174
Q8678	P190	Q5112
Q34	P530	Q159
Q1036	P530	Q833
Q218	P530	Q43
Q851	P530	Q837
Q869	P47	Q424
Q12626	P47	Q12717
Q2280	P190	Q1533
Q33935	P190	Q1794
Q60	P190	Q1490
Q408	P530	Q851
Q1022	P17	Q183
Q403	P530	Q79
Q28	P530	Q38
Q215	P530	Q55
Q902	P530	Q833
Q1461	P190	Q956
Q750	P47	Q155
Q17	P530	Q801
Q28	P30	Q46
Q35	P530	Q796
Q159	P530	Q962
Q33935	P190	Q641
Q869	P47	Q833
Q218	P530	Q851
Q142	P530	Q222
Q77	P530	Q40
Q265	P47	Q232
Q878	P530	Q43
Q2044	P190	Q1345
Q212	P47	Q214
Q183	P530	Q928
Q962	P530	Q35
Q11911	P37	Q188
Q183	P530	Q1008
Q225	P530	Q408
Q656	P190	Q1861
Q801	P530	Q212
Q145	P150	Q22
Q408	P530	Q884
Q1563	P190	Q3616
Q38	P530	Q805
Q43	P47	Q858
Q1261	P47	Q816
Q956	P190	Q1461
Q236	P30	Q46
Q851	P530	Q664
Q41	P530	Q155
Q399	P530	Q28
Q843	P530	Q424
Q869	P530	Q928
Q30	P150	Q1261
Q30	P530	Q902
Q902	P530	Q232
Q159	P47	Q20
Q159	P530	Q912
Q1948	P47	Q1989
Q884	P30	Q48
Q221	P17	Q221
Q184	P47	Q211
Q8663	P710	Q115
Q656	P190	Q1335
Q16957	P47	Q36
Q145	P17	Q145
Q1352	P30	Q48
Q881	P530	Q183
Q30	P150	Q1509
Q736	P530	Q408
Q224	P530	Q219
Q148	P530	Q1016
Q222	P530	Q142
Q1490	P190	Q3224
Q262	P530	Q114
Q796	P47	Q851
Q759	P17	Q30
Q41	P530	Q884
Q31	P530	Q668
Q495	P190	Q4093
Q29	P30	Q46
Q142	P530	Q691
Q159	P530	Q403
Q1494	P47	Q1588
Q863	P2936	Q7737
Q851	P530	Q924
Q854	P530	Q114
Q29	P530	Q881
Q32	P530	Q148
Q30	P530	Q414
Q1726	P2936	Q188
Q31	P530	Q408
Q8686	P190	Q585
Q928	P530	Q224
Q423	P530	Q17
Q84	P190	Q9248
Q41	P530	Q36
Q836	P530	Q408
Q902	P530	Q739
Q1951	P17	Q16
Q218	P530	Q423
Q490	P190	Q1761
Q17	P47	Q865
Q403	P47	Q219
Q43	P30	Q48
Q668	P530	Q29
Q956	P190	Q1524
Q227	P47	Q159
Q38	P530	Q159
Q641	P190	Q1770
Q419	P530	Q833
Q902	P530	Q754
Q77	P530	Q794
Q230	P530	Q30
Q224	P530	Q711
Q3206	P47	Q35715
Q1159009	P460	Q632842
Q733	P530	Q77
Q851	P530	Q928
Q20	P530	Q837
Q55	P530	Q258
Q35	P530	Q403
Q30	P530	Q191
Q902	P530	Q691
Q183	P530	Q786
Q774	P17	Q774
Q2887	P17	Q298
Q1731	P190	Q16567
Q800	P530	Q408
Q38	P530	Q55
Q31487	P190	Q23436
Q962	P47	Q945
Q227	P47	Q399
Q365	P17	Q43287
Q159	P530	Q55
Q23436	P190	Q1899
Q902	P530	Q29
Q956	P190	Q174
Q800	P530	Q96
Q865	P530	Q766
Q843	P530	Q878
Q1297	P190	Q1085
Q212	P530	Q233
Q2807	P190	Q956
Q736	P530	Q155
Q794	P530	Q155
Q142	P530	Q334
Q1953	P17	Q15180
Q1861	P190	Q956
Q884	P530	Q159
Q408	P530	Q29
Q183	P530	Q945
Q90	P190	Q220
Q148	P530	Q77
Q1948	P36	Q2135
Q2280	P190	Q1563
Q28	P47	Q224
Q17	P530	Q38
Q145	P47	Q35
Q114	P47	Q924
Q96	P530	Q115
Q183	P47	Q55
Q38	P36	Q220
Q10989273	P460	Q830350
Q183	P36	Q586
Q18336315	P460	Q2117521
Q183	P530	Q1045
Q34932	P190	Q37100
Q1762022	P460	Q830350
Q796	P47	Q43
Q145	P530	Q928
Q77	P36	Q1335
Q115	P530	Q865
Q30	P530	Q822
Q8652	P190	Q2868
Q298	P530	Q408
Q1524	P190	Q1486
Q1489	P190	Q1754
Q750	P530	Q159
Q230	P530	Q408
Q790	P17	Q790
Q3249	P17	Q142
Q30	P150	Q61
Q414	P530	Q224
Q408	P2936	Q1321
Q145	P530	Q414
Q142	P530	Q227
Q114	P530	Q183
Q188	P495	Q183
Q1509	P47	Q1428
Q962	P47	Q1033
Q1533	P190	Q8678
Q1218	P190	Q1486
Q962	P530	Q30
Q865	P530	Q1041
Q174193	P30	Q46
Q38	P530	Q33
Q881	P530	Q884
Q25	P30	Q46
Q656	P30	Q46
Q865	P530	Q1033
Q262	P530	Q229
Q833	P530	Q41
Q17	P530	Q79
Q216	P17	Q36
Q8684	P190	Q1490
Q403	P530	Q148
Q23482	P190	Q1748
Q340	P17	Q16
Q43	P530	Q878
Q902	P530	Q408
Q11218	P740	Q1345
Q30	P530	Q211
Q865	P530	Q229
Q419	P530	Q41
Q183	P530	Q77
Q17	P530	Q16
Q241	P530	Q796
Q577011	P407	Q809
Q40	P530	Q865
Q142	P530	Q668
Q865	P530	Q145
Q142	P530	Q884
Q869	P530	Q865
Q833	P530	Q16
Q928	P530	Q884
Q869	P530	Q403
Q774	P530	Q408
Q36	P530	Q928
Q233	P530	Q212
Q38	P530	Q230
Q2268455	P460	Q220546
Q270	P190	Q1899
Q833	P530	Q854
Q987	P190	Q1490
Q668	P530	Q77
Q215	P530	Q79
Q33	P530	Q843
Q35	P530	Q794
Q739	P530	Q41
Q1036	P47	Q924
Q3616	P190	Q65
Q1489	P190	Q1533
Q8678	P190	Q1524
Q34	P530	Q796
Q796	P530	Q35
Q62	P190	Q597
Q159	P530	Q833
Q229	P530	Q38
Q241	P530	Q902
Q218	P530	Q148
Q183	P530	Q230
Q956	P190	Q1899
Q928	P47	Q865
Q5287	P17	Q155
Q902	P530	Q1036
Q18656	P131	Q18125
Q664	P530	Q712
Q230	P530	Q32
Q155	P530	Q183
Q70	P37	Q188
Q414	P530	Q142
Q159	P530	Q1008
Q3616	P190	Q1533
Q155	P47	Q77
Q851	P530	Q34
Q649	P190	Q472
Q1342	P190	Q472
Q1558	P47	Q1553
Q145	P530	Q664
Q159	P37	Q7737
Q833	P530	Q213
Q656	P190	Q8678
Q31	P530	Q145
Q1159009	P460	Q475210
