,Object,Relationship,Correct,Answer_1,Answer_2,Answer_3,Answer_4,Score_1,Score_2,Score_3,Score_sum
14,Anderson Cooper,occupazione,scrittore,giornalista televisivo,prestigiatore,scrittore,podcaster,-7.900897026062012,-8.021212577819824,-8.050390243530273,-23.97249984741211
15,Anderson Cooper,orientamento sessuale,omosessualità,Stockport,bisessualità,gay,omosessualità,-8.275032997131348,-8.365591049194336,-8.37586498260498,-25.016489028930664
16,Anderson Cooper,paese di cittadinanza,Stati Uniti d'America,Venezuela,Stati Uniti d'America,Spagna,Bangladesh,-7.6898603439331055,-7.748809814453125,-7.82260799407959,-23.26127815246582
17,Anderson Cooper,premio ricevuto,Peabody Award,NBA All-Rookie Team,Premio Marian Anderson,Peabody Award,All-NBA Team,-7.3161940574646,-7.505526065826416,-7.570903301239014,-22.39262342453003
18,Anderson Cooper,premio ricevuto,Premio Emmy,Premio Marian Anderson,Premio Emmy,All-NBA Team,NBA All-Rookie Team,-7.3161940574646,-7.505526065826416,-7.570903301239014,-22.39262342453003
19,Anderson Cooper,residenza,New York,Manhattan,Seattle,New York,Washington,-7.5632195472717285,-7.900108337402344,-7.9051690101623535,-23.368496894836426
20,Anderson Cooper,residenza,Vietnam,Seattle,Vietnam,Washington,Manhattan,-7.5632195472717285,-7.900108337402344,-7.9051690101623535,-23.368496894836426
21,Anderson Cooper,scuola frequentata,Università di Yale,Università di Notre Dame,Università di Yale,,Università di Princeton,-7.697108268737793,-7.707688331604004,,
22,Anderson Cooper,sesso o genere,maschio,maschio,Hunger Games: Il canto della rivolta - Parte II,Interstellar,Alien,-8.171932220458984,-8.179983139038086,-8.24477767944336,-24.59669303894043
23,Andy Cohen,condizione medica,COVID-19,Farrah Fawcett,Julio Iglesias,COVID-19,disturbo ossessivo-compulsivo,-8.038151741027832,-8.104479789733887,-8.158648490905762,-24.30128002166748
24,Andy Cohen,istanza di,umano,umano,,White Horse,John Davison Rockefeller,-8.242358207702637,-8.31700325012207,,
25,Andy Cohen,luogo di nascita,Saint Louis,New York,Oklahoma City,Washington,Saint Louis,-7.6133832931518555,-7.774527549743652,-7.875485897064209,-23.263396739959717
26,Andy Cohen,occupazione,conduttore radiofonico,youtuber,,conduttore radiofonico,podcaster,-7.609729766845703,-7.805778503417969,,
27,Andy Cohen,occupazione,conduttore televisivo,,youtuber,podcaster,conduttore televisivo,-7.609729766845703,-7.805778503417969,,
28,Andy Cohen,occupazione,imprenditore,youtuber,imprenditore,podcaster,,-7.609729766845703,-7.805778503417969,,
29,Andy Cohen,occupazione,produttore televisivo,youtuber,,podcaster,produttore televisivo,-7.609729766845703,-7.805778503417969,,
30,Andy Cohen,occupazione,socialite,,youtuber,socialite,podcaster,-7.609729766845703,-7.805778503417969,,
31,Andy Cohen,orientamento sessuale,omosessualità,Jem Finer,John Fitzgerald Kennedy,Jamal Adams,omosessualità,-8.310317993164062,-8.31679916381836,-8.359829902648926,-24.986947059631348
32,Andy Cohen,paese di cittadinanza,Stati Uniti d'America,Canada,Stati Uniti d'America,Messico,Bangladesh,-7.583775997161865,-7.677829265594482,-7.774250507354736,-23.035855770111084
33,Andy Cohen,premio ricevuto,Peabody Award,Peabody Award,,All-NBA Team,Play Button d'argento,-7.591949939727783,-7.6321702003479,,
34,Andy Cohen,premio ricevuto,Primetime Emmy Awards,,All-NBA Team,Primetime Emmy Awards,Play Button d'argento,-7.591949939727783,-7.6321702003479,,
35,Andy Cohen,prenome,Andy,Andy,Jeffrey,Kristen,Jimmy,-7.401430130004883,-7.742996692657471,-7.891604900360107,-23.03603172302246
36,Andy Cohen,residenza,New York,Washington,New York,Manhattan,Austin,-7.411113739013672,-7.5046281814575195,-7.710347652435303,-22.626089572906494
37,Andy Cohen,scuola frequentata,Università di Boston,Università del Tennessee,,Howard University,Università di Boston,-7.664803504943848,-7.839599609375,,
38,Andy Cohen,sesso o genere,maschio,,maschio,,Prisoners,-8.252889633178711,,,
39,Auld Lang Syne,formato dell'opera creativa,canzone,George Miller,,canzone,Alfred Hitchcock,-8.20013427734375,-8.25180435180664,,
40,Auld Lang Syne,istanza di,opera/composizione musicale,,capoluogo di contea,opera/composizione musicale,opera letteraria,-7.875243663787842,-8.034646034240723,,
41,Auld Lang Syne,lingua dell'opera o del nome,lingua scots,Troy University,calciatori per numero di gol realizzati in incontri ufficiali,,lingua scots,-8.30963134765625,-8.320637702941895,,
42,Auld Lang Syne,stato del copyright,pubblico dominio,pubblico dominio,OutKast,Curb Your Enthusiasm,Alien,-8.394552230834961,-8.394794464111328,-8.475951194763184,-25.265297889709473
43,Billie Joe Armstrong,descritto nella fonte,Obalky knih.cz,finali della Coppa Libertadores,offensive tackle,Obalky knih.cz,,-8.704662322998047,-8.753348350524902,,
44,Billie Joe Armstrong,etichetta discografica,Reprise Records,Reprise Records,Warner Records,Capitol Records Nashville,Motown,-7.794976234436035,-7.931901454925537,-8.02563190460205,-23.752509593963623
45,Billie Joe Armstrong,genere,new wave,new wave,musica sperimentale,hard rock,adult contemporary music,-7.467104911804199,-7.662428855895996,-7.831910610198975,-22.96144437789917
46,Billie Joe Armstrong,genere,pop punk,hard rock,musica sperimentale,adult contemporary music,pop punk,-7.467104911804199,-7.662428855895996,-7.831910610198975,-22.96144437789917
47,Billie Joe Armstrong,genere,punk rock,adult contemporary music,musica sperimentale,hard rock,punk rock,-7.467104911804199,-7.662428855895996,-7.831910610198975,-22.96144437789917
48,Billie Joe Armstrong,genere,rock,hard rock,musica sperimentale,adult contemporary music,rock,-7.467104911804199,-7.662428855895996,-7.831910610198975,-22.96144437789917
49,Billie Joe Armstrong,genere,rock alternativo,rock alternativo,adult contemporary music,musica sperimentale,hard rock,-7.467104911804199,-7.662428855895996,-7.831910610198975,-22.96144437789917
50,Billie Joe Armstrong,istanza di,umano,Gesù,Sabrina Harman,pinguino,umano,-8.57507038116455,-8.631536483764648,-8.669754981994629,-25.876361846923828
51,Billie Joe Armstrong,lingue parlate o scritte,inglese,BAFTA al miglior attore non protagonista,inglese,hawaiano,Senato statale della Virginia,-8.457087516784668,-8.627935409545898,-8.689115524291992,-25.77413845062256
52,Billie Joe Armstrong,luogo di lavoro,Berkeley,Berkeley,Povere creature!,Stati Uniti d'America,Full Monty - Squattrinati organizzati,-8.536079406738281,-8.563426971435547,-8.578171730041504,-25.677678108215332
53,Billie Joe Armstrong,luogo di nascita,Oakland,New York,Oakland,Albany,Des Moines,-8.017902374267578,-8.086296081542969,-8.12041187286377,-24.224610328674316
54,Billie Joe Armstrong,membro di,Green Day,Green Day,Kiss,,The Rolling Stones,-8.258313179016113,-8.407174110412598,,
55,Billie Joe Armstrong,occupazione,attore cinematografico,attore cinematografico,pianista,musicista,batterista,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
56,Billie Joe Armstrong,occupazione,attore teatrale,batterista,attore teatrale,musicista,pianista,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
57,Billie Joe Armstrong,occupazione,attore televisivo,pianista,musicista,attore televisivo,batterista,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
58,Billie Joe Armstrong,occupazione,cantante,batterista,cantante,musicista,pianista,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
59,Billie Joe Armstrong,occupazione,cantautore,batterista,pianista,musicista,cantautore,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
60,Billie Joe Armstrong,occupazione,chitarrista,musicista,batterista,pianista,chitarrista,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
61,Billie Joe Armstrong,occupazione,compositore,musicista,pianista,batterista,compositore,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
62,Billie Joe Armstrong,occupazione,mandolinista,batterista,pianista,mandolinista,musicista,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
63,Billie Joe Armstrong,occupazione,produttore discografico,batterista,pianista,produttore discografico,musicista,-7.790994644165039,-7.850297927856445,-7.852840423583984,-23.49413299560547
64,Billie Joe Armstrong,orientamento sessuale,bisessualità,Australiformis,The Voice,gay,bisessualità,-8.311934471130371,-8.597479820251465,-8.626405715942383,-25.53582000732422
65,Billie Joe Armstrong,paese di cittadinanza,Stati Uniti d'America,Austria,Canada,Stati Uniti d'America,Giappone,-8.23007869720459,-8.459482192993164,-8.463077545166016,-25.15263843536377
66,Billie Joe Armstrong,prenome,Joe,Billy,Patrick,Joe,Peter,-8.083151817321777,-8.277199745178223,-8.363886833190918,-24.724238395690918
67,Billie Joe Armstrong,rappresentante dei diritti d'autore,SESAC,PRS for Music,SESAC,Broadcast Music Incorporated,ASCAP,-8.028313636779785,-8.292729377746582,-8.38149642944336,-24.702539443969727
68,Billie Joe Armstrong,sesso o genere,maschio,maschio,,OutKast,genderfluid,-8.572297096252441,-8.642196655273438,,
69,Billie Joe Armstrong,strumento musicale,armonica a bocca,chitarra acustica,chitarra elettrica,banjo,armonica a bocca,-7.701726913452148,-7.896062850952148,-7.9389753341674805,-23.536765098571777
70,Billie Joe Armstrong,strumento musicale,chitarra,chitarra,chitarra acustica,banjo,chitarra elettrica,-7.701726913452148,-7.896062850952148,-7.9389753341674805,-23.536765098571777
71,Billie Joe Armstrong,strumento musicale,mandolino,banjo,chitarra elettrica,chitarra acustica,mandolino,-7.701726913452148,-7.896062850952148,-7.9389753341674805,-23.536765098571777
72,Billie Joe Armstrong,strumento musicale,pianoforte,pianoforte,chitarra elettrica,chitarra acustica,banjo,-7.701726913452148,-7.896062850952148,-7.9389753341674805,-23.536765098571777
73,Billie Joe Armstrong,strumento musicale,sassofono,sassofono,banjo,chitarra elettrica,chitarra acustica,-7.701726913452148,-7.896062850952148,-7.9389753341674805,-23.536765098571777
74,Billie Joe Armstrong,strumento musicale,strumento a percussione,banjo,chitarra elettrica,strumento a percussione,chitarra acustica,-7.701726913452148,-7.896062850952148,-7.9389753341674805,-23.536765098571777
75,Billie Joe Armstrong,strumento musicale,voce,chitarra acustica,banjo,voce,chitarra elettrica,-7.701726913452148,-7.896062850952148,-7.9389753341674805,-23.536765098571777
76,Campionato del mondo PDC 2024,istanza di,stagione sportiva,nazionale di calcio dell'Argentina,James Milner,Wayne Rooney,stagione sportiva,-8.272124290466309,-8.39194107055664,-8.446980476379395,-25.111045837402344
77,Campionato del mondo PDC 2024,sport,freccette,freccette,,Taylor Swift: The Eras Tour,Tupolev Tu-22M,-8.264365196228027,-8.47591495513916,,
78,Cleopatra,carica ricoperta,faraone,console,faraone,senatore romano,,-6.956326961517334,-7.075325965881348,,
79,Cleopatra,circostanze del decesso,suicidio,omicidio,pena di morte,,suicidio,-7.489701747894287,-8.28982162475586,,
80,Cleopatra,descritto nella fonte,Dictionary of African Biography,,Dictionary of African Biography,Library of the World's Best Literature,Entsiklopedicheskiy Leksikon,-6.8707990646362305,-7.199171543121338,,
81,Cleopatra,descritto nella fonte,Dizionario Enciclopedico Brockhaus ed Efron,,Dizionario Enciclopedico Brockhaus ed Efron,Entsiklopedicheskiy Leksikon,Library of the World's Best Literature,-6.8707990646362305,-7.199171543121338,,
82,Cleopatra,descritto nella fonte,Enciclopedia ebraica di Brockhaus ed Efron,,Library of the World's Best Literature,Enciclopedia ebraica di Brockhaus ed Efron,Entsiklopedicheskiy Leksikon,-6.8707990646362305,-7.199171543121338,,
83,Cleopatra,descritto nella fonte,Small Brockhaus and Efron Encyclopedic Dictionary,Small Brockhaus and Efron Encyclopedic Dictionary,Library of the World's Best Literature,,Entsiklopedicheskiy Leksikon,-6.8707990646362305,-7.199171543121338,,
84,Cleopatra,istanza di,umano,,capoluogo di contea,umano,etnia,-8.033452987670898,-8.172379493713379,,
85,Cleopatra,lingue parlate o scritte,aramaico,lingua scots,aramaico,azero,greco antico,-7.136137008666992,-8.033114433288574,-8.065818786621094,-23.23507022857666
86,Cleopatra,lingue parlate o scritte,latino,greco antico,azero,latino,lingua scots,-7.136137008666992,-8.033114433288574,-8.065818786621094,-23.23507022857666
87,Cleopatra,luogo di morte,Alessandria d'Egitto,Alessandria d'Egitto,Parigi,Vienna,Torre di Londra,-7.772314071655273,-7.835452556610107,-7.943943977355957,-23.551710605621338
88,Cleopatra,luogo di nascita,Alessandria d'Egitto,Parigi,Vienna,Roma,Alessandria d'Egitto,-7.570469379425049,-8.072005271911621,-8.095053672790527,-23.737528324127197
89,Cleopatra,occupazione,monarca,condottiero,monarca,regina consorte,disegnatore,-7.237590312957764,-7.777638912200928,-7.829845905303955,-22.845075130462646
90,Cleopatra,occupazione,sovrano,sovrano,disegnatore,regina consorte,condottiero,-7.237590312957764,-7.777638912200928,-7.829845905303955,-22.845075130462646
91,Cleopatra,sesso o genere,femmina,Mark Rypien,femmina,Josh Heupel,Kiss,-8.232645988464355,-8.252239227294922,-8.324766159057617,-24.809651374816895
